,Geo Point,NOM_COM,Unnamed: 0,Nombre d’habitants de la commune,Policiers pour 100 habs,Libellé de la commune,president_gagnant,partie,Revenu fiscal de référence des foyers fiscaux 2021,Evolution,Age moyen,longitude,latitude
0,"49.800776055, 3.25374342962",castres,1198,43000.0,8.837209302325581,castres,LE PEN,Extrême droite,3629.8,-51.439335500578544,"22,08181818", 3.25374342962,49.800776055
4,"43.3606473433, 5.65862551732",auriol,154,12084.0,9.930486593843098,auriol,LE PEN,Extrême droite,223433.319,-98.48457248222678,"23,87558604", 5.65862551732,43.3606473433
5,"48.619035211, -2.45843826644",erquy,258,3922.0,5.099439061703213,erquy,MACRON,Centre,80523.547,-97.66454525407332,"32,22676282", -2.45843826644,48.619035211
8,"51.030563712, 2.33703738753",dunkerque,787,86279.0,10.547178340036394,dunkerque,LE PEN,Extrême droite,1171911.108,-97.23199039768808,"24,26273281", 2.33703738753,51.030563712
17,"49.0353093589, 6.59362819133",faulquemont,728,5394.0,1.853911753800519,faulquemont,LE PEN,Extrême droite,64165.558,228.2165083018525,"24,3911093", 6.59362819133,49.0353093589
19,"49.6770366649, 4.98575136569",bazeilles,96,2411.0,4.147656574035669,bazeilles,LE PEN,Extrême droite,32602.732,21.17087304217328,"23,55057168", 4.98575136569,49.6770366649
20,"49.5899395482, 5.07650804155",mouzon,107,2345.0,4.264392324093817,mouzon,LE PEN,Extrême droite,29361.874,-88.85750616598926,"27,0242483", 5.07650804155,49.5899395482
26,"48.1424883164, 7.03737624477",plainfaing,1278,1667.0,0.0,plainfaing,LE PEN,Extrême droite,19382.339,-52.737118053708585,"25,56200528", 7.03737624477,48.1424883164
27,"48.8843794006, 2.50918143824",villemomble,1336,30152.0,4.974794375165827,villemomble,MÉLENCHON,Extrême gauche,513080.09,-77.62949503653513,"21,49747934", 2.50918143824,48.8843794006
28,"48.973441633, 4.005700174",avize,639,1914.0,5.224660397074191,avize,LE PEN,Extrême droite,35494.7,-96.56049494713297,"24,51414514", 4.005700174,48.973441633
29,"49.3845250692, 4.74044574538",falaise,165,8351.0,3.592384145611304,falaise,LE PEN,Extrême droite,4831.987,-74.73511414662332,"25,75796178", 4.74044574538,49.3845250692
